Cell_ID,n_nuclei,n_distinct_ploidy,min_class,max_class,class_spread,is_mixed,is_mixed_confident,ploidy_labels,intensity_fold_range
67,2,1,2,2,0,False,False,4C,1.327022584768978
68,4,3,1,3,2,True,True,"2C,4C,8C",4.346584026716477
69,3,2,2,3,1,True,True,"4C,8C",2.5808817811876312
70,4,2,1,2,1,True,True,"2C,4C",2.10532421325147
71,4,2,1,2,1,True,True,"2C,4C",1.9012534739946683
72,3,1,1,1,0,False,False,2C,1.9593980885243678
73,2,1,1,1,0,False,False,2C,1.2774322169059011
74,4,1,2,2,0,False,False,4C,1.462213439827546
75,4,1,1,1,0,False,False,2C,1.1721120186697782
76,4,2,1,2,1,True,True,"2C,4C",2.2311540761411206
77,3,1,1,1,0,False,False,2C,1.3448798861398237
78,4,1,3,3,0,False,False,8C,1.4524991171228026
79,2,1,1,1,0,False,False,2C,1.1230497255740333
80,4,1,2,2,0,False,False,4C,1.2483026962485768
81,3,1,2,2,0,False,False,4C,1.5438705505966124
82,2,1,2,2,0,False,False,4C,1.0122599208377758
83,3,3,2,4,2,True,True,"16C,4C,8C",3.226389999757629
84,4,1,2,2,0,False,False,4C,1.3588068143739862
85,4,1,1,1,0,False,False,2C,1.3734688723323651
86,3,1,4,4,0,False,False,16C,1.5888863029223672
87,4,1,1,1,0,False,False,2C,1.202048347525876
88,2,2,2,3,1,True,True,"4C,8C",1.8473994866093157
89,3,2,1,2,1,True,False,"2C,4C",1.4298987801712952
90,2,2,2,3,1,True,False,"4C,8C",1.4073148337074068
91,4,1,3,3,0,False,False,8C,1.185616575014964
92,4,2,1,2,1,True,True,"2C,4C",2.4737909971737135
93,4,1,3,3,0,False,False,8C,1.6762760648898891
94,3,1,1,1,0,False,False,2C,1.0992061211064488
95,4,1,3,3,0,False,False,8C,1.5109013100217468
96,3,1,1,1,0,False,False,2C,1.1166036888278195
97,4,1,1,1,0,False,False,2C,1.4175879671334588
98,3,1,1,1,0,False,False,2C,1.61683964312226
99,3,2,2,3,1,True,False,"4C,8C",1.4165878271838537
100,3,2,3,4,1,True,True,"16C,8C",2.04183914843288
101,4,2,1,2,1,True,True,"2C,4C",1.54624823775596
102,4,1,1,1,0,False,False,2C,1.4978373314869873
103,2,2,1,2,1,True,True,"2C,4C",2.633788629678875
104,4,2,1,2,1,True,True,"2C,4C",2.679717125436656
105,4,1,3,3,0,False,False,8C,1.674628741218918
106,3,2,3,4,1,True,True,"16C,8C",1.894403068149989
107,4,1,2,2,0,False,False,4C,1.4288021292283346
108,4,2,1,2,1,True,True,"2C,4C",2.33277091982076
109,2,1,4,4,0,False,False,16C,1.3955160040573549
110,2,1,2,2,0,False,False,4C,1.5978070425634214
111,2,1,4,4,0,False,False,16C,1.1230973558469126
112,3,2,2,3,1,True,True,"4C,8C",1.729568303919328
113,2,1,2,2,0,False,False,4C,1.1499974974796046
114,3,1,3,3,0,False,False,8C,1.341285938887631
115,3,1,2,2,0,False,False,4C,1.2889183526815986
116,3,2,1,2,1,True,True,"2C,4C",2.3587769619091326
117,4,3,1,3,2,True,True,"2C,4C,8C",3.6011327704228777
118,4,1,2,2,0,False,False,4C,1.3470426041583743
119,2,1,1,1,0,False,False,2C,1.0580095896099975
120,4,1,2,2,0,False,False,4C,1.238527256084498
121,4,1,1,1,0,False,False,2C,1.2397332176689864
122,3,1,2,2,0,False,False,4C,1.3878086351231809
123,3,1,1,1,0,False,False,2C,1.656112326319357
124,3,1,1,1,0,False,False,2C,1.4170032685817542
125,2,1,2,2,0,False,False,4C,1.064542131669284
126,4,1,2,2,0,False,False,4C,1.3957639161538915
127,2,2,1,3,2,True,True,"2C,8C",2.324717239939058
128,3,1,2,2,0,False,False,4C,1.3612610172316797
129,2,1,2,2,0,False,False,4C,1.1170711822725936
130,4,1,1,1,0,False,False,2C,1.3995255134809224
131,3,1,2,2,0,False,False,4C,1.716722067441637
132,2,1,3,3,0,False,False,8C,1.4167888808492715
133,3,2,2,3,1,True,True,"4C,8C",2.8100409549495553
134,2,2,1,2,1,True,True,"2C,4C",1.7814643057897694
135,2,1,1,1,0,False,False,2C,1.2351870882962415
136,3,2,1,2,1,True,True,"2C,4C",2.176763263346008
137,3,1,4,4,0,False,False,16C,1.0603126677109285
138,4,2,3,4,1,True,True,"16C,8C",1.8291100332116326
139,2,2,1,2,1,True,False,"2C,4C",1.160034250425968
140,4,1,2,2,0,False,False,4C,1.5418053556587135
141,3,1,4,4,0,False,False,16C,1.6842840706780053
142,4,2,3,4,1,True,True,"16C,8C",2.9625161200755366
143,3,3,1,4,3,True,True,"16C,2C,8C",4.2087989926019205
144,2,1,2,2,0,False,False,4C,1.0104782887232613
145,3,1,4,4,0,False,False,16C,1.5980338163333776
146,2,1,2,2,0,False,False,4C,1.0175209069524036
147,4,2,3,4,1,True,True,"16C,8C",2.958120168714116
148,2,1,4,4,0,False,False,16C,1.233239310404099
149,3,1,1,1,0,False,False,2C,1.30427300080274
150,2,1,1,1,0,False,False,2C,1.0260643171090933
151,3,1,2,2,0,False,False,4C,1.239177864097707
152,4,2,1,2,1,True,True,"2C,4C",2.4217389502844187
153,3,1,2,2,0,False,False,4C,1.345913996738261
154,4,2,2,3,1,True,False,"4C,8C",1.2127703574262827
155,3,2,1,2,1,True,True,"2C,4C",1.8786294559339844
156,2,1,1,1,0,False,False,2C,1.6067320471105817
157,4,2,3,4,1,True,False,"16C,8C",1.49772945286194
158,2,2,1,2,1,True,True,"2C,4C",2.5518386532296176
159,2,1,1,1,0,False,False,2C,1.0093671563627946
160,4,3,2,4,2,True,True,"16C,4C,8C",3.801713128537275
161,3,1,2,2,0,False,False,4C,1.534867964769224
162,2,1,1,1,0,False,False,2C,1.05214718876053
163,3,1,3,3,0,False,False,8C,1.3416272245932457
164,4,3,1,3,2,True,True,"2C,4C,8C",3.6944665429152304
165,4,2,1,2,1,True,True,"2C,4C",1.5660503324844368
166,3,1,1,1,0,False,False,2C,1.5474411780541648
167,4,1,1,1,0,False,False,2C,1.3877332144772305
168,3,1,4,4,0,False,False,16C,1.6374047106001524
169,2,1,3,3,0,False,False,8C,1.241245625911765
170,3,2,1,2,1,True,True,"2C,4C",1.6657838983050846
171,2,2,2,3,1,True,True,"4C,8C",2.2301345004269852
172,4,1,2,2,0,False,False,4C,1.378953694566661
173,3,3,1,3,2,True,True,"2C,4C,8C",5.306582722908044
174,2,1,1,1,0,False,False,2C,1.1599355559264155
175,2,1,4,4,0,False,False,16C,1.2702849990717617
176,2,1,2,2,0,False,False,4C,1.3577481903240927
177,2,2,1,3,2,True,True,"2C,8C",3.8630444596205713
178,2,1,1,1,0,False,False,2C,1.0327586206896553
179,4,2,3,4,1,True,True,"16C,8C",1.7998469104549908
180,2,1,1,1,0,False,False,2C,1.0086972443467912
181,3,2,1,2,1,True,True,"2C,4C",1.6914779853455673
182,2,1,1,1,0,False,False,2C,1.594714140297174
183,2,2,1,2,1,True,True,"2C,4C",2.1841869898216264
184,4,1,2,2,0,False,False,4C,1.3051731303737952
185,2,1,3,3,0,False,False,8C,1.2014191864600428
186,2,1,1,1,0,False,False,2C,1.2224456028608535
187,2,2,1,2,1,True,False,"2C,4C",1.3331007826082064
188,4,2,3,4,1,True,True,"16C,8C",2.3627072914821428
189,4,1,4,4,0,False,False,16C,1.4907928619592978
190,2,2,2,3,1,True,True,"4C,8C",1.8024414194883733
191,2,1,1,1,0,False,False,2C,1.2769666999646339
192,3,2,2,3,1,True,True,"4C,8C",2.0815317734980643
193,2,1,1,1,0,False,False,2C,1.0028840388535796
194,4,1,1,1,0,False,False,2C,1.3061946640608808
195,4,1,3,3,0,False,False,8C,1.3398212694956235
196,4,1,1,1,0,False,False,2C,1.4335303808508577
197,2,1,1,1,0,False,False,2C,1.074728739682834
198,4,2,2,3,1,True,False,"4C,8C",1.4652671365818775
199,2,1,2,2,0,False,False,4C,1.4482226217639138
200,4,2,1,2,1,True,False,"2C,4C",1.4760754017692246
201,3,1,2,2,0,False,False,4C,1.5026374572758836
202,4,1,2,2,0,False,False,4C,1.1670411191182706
203,3,1,2,2,0,False,False,4C,1.4533909986287785
204,2,1,1,1,0,False,False,2C,1.0183147229948537
205,3,3,1,3,2,True,True,"2C,4C,8C",3.4189508023364277
206,4,2,2,3,1,True,True,"4C,8C",1.695257261544753
207,3,2,1,2,1,True,True,"2C,4C",2.3712306333650575
208,3,1,1,1,0,False,False,2C,1.2480618549584068
209,2,1,2,2,0,False,False,4C,1.0575681021949999
210,2,1,3,3,0,False,False,8C,1.2594354025535057
211,3,2,1,3,2,True,True,"2C,8C",3.7354913378422365
212,2,1,1,1,0,False,False,2C,1.5757794262125158
213,4,3,1,3,2,True,True,"2C,4C,8C",4.822085012348889
214,3,2,3,4,1,True,True,"16C,8C",2.2987687243355928
215,2,1,1,1,0,False,False,2C,1.3710038966777809
216,4,2,1,2,1,True,False,"2C,4C",1.4953522842894647
217,2,2,2,3,1,True,True,"4C,8C",2.2280681594326617
218,3,2,2,3,1,True,False,"4C,8C",1.4440326122927885
219,2,1,1,1,0,False,False,2C,1.0825221880619524
220,3,1,2,2,0,False,False,4C,1.5238008967797456
